# Resolvers to which Google may not return AAAA records.
# Copyright 2019 Google Inc. All Rights Reserved.
# Last updated: 2019-06-02.

192.0.2.0/24
2001:db8::/32
200.222.122.188/32       # AS7738 Brazil
201.10.124.1/32          # AS8167 Brazil
201.10.124.3/32          # AS8167 Brazil
201.10.132.5/32          # AS8167 Brazil
189.40.196.27/32         # AS26615 Brazil
189.40.196.28/32         # AS26615 Brazil
66.250.7.154/32          # AS174 United States
200.139.197.49/32        # AS53037 Brazil
94.143.177.217/32        # AS29247 Greece
201.251.13.4/32          # AS27927 Argentina
200.139.206.82/32        # AS53037 Brazil
200.139.206.81/32        # AS53037 Brazil
94.143.176.217/32        # AS29247 Greece
94.143.176.254/32        # AS29247 Greece
2a02:1388:0:a::54/128    # AS29247 Greece
162.158.248.53/32        # AS13335 Ukraine
203.69.155.34/32         # AS3462 Taiwan
200.139.197.50/32        # AS53037 Brazil
103.234.162.55/32        # AS133260 India
195.120.182.170/32       # AS3269 Italy
2001:f40:0:3::2:67/128   # AS9930 Malaysia
187.111.97.179/32        # AS262714 Brazil
2001:b032:b:2::253/128   # AS3462 Taiwan
170.239.235.2/32         # AS265252 Brazil
2c0f:fe08:11:1::4/128    # AS36914 Kenya
103.234.162.47/32        # AS133260 India
183.176.244.11/32        # AS7522 Japan
